trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,number of distractors,fixation.started,Target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
102,0,102,0,10,182.9138425669953,182.9138425669953,0.049214541002584156,0.41444444444444445,-0.4866666666666667,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
103,0,103,0,5,187.6835871949952,187.6835871949952,0.026268231005815323,-0.3233333333333333,0.4222222222222222,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
104,0,104,0,5,189.1811086089947,189.1811086089947,0.0280106669961242,-0.011111111111111112,0.36444444444444446,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
105,0,105,0,5,190.59994514299615,190.59994514299615,0.025567698998202104,-0.4122222222222222,-0.0811111111111111,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
106,0,106,0,10,192.05271082899708,192.05271082899708,0.04616086200257996,-0.2822222222222222,0.31777777777777777,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
107,0,107,0,5,193.59603509899898,193.59603509899898,0.024809975002426654,-0.29,-0.14888888888888888,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
108,0,108,0,10,194.76262091899844,194.76262091899844,0.047418604997801594,-0.4666666666666667,-0.07555555555555556,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
109,0,109,0,5,196.77852245199756,196.77852245199756,0.024657645997649524,0.35777777777777775,-0.09,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
110,0,110,0,10,199.302683392998,199.302683392998,0.04635380599938799,-0.31222222222222223,-0.18444444444444444,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
111,0,111,0,5,200.90204959299444,200.90204959299444,0.025037170998984948,-0.41,-0.3522222222222222,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
112,0,112,0,10,202.4030065639963,202.4030065639963,0.05383397999685258,0.34555555555555556,-0.38222222222222224,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
113,0,113,0,5,204.84047199699853,204.84047199699853,0.026642395998351276,-0.41888888888888887,-0.19333333333333333,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
114,0,114,0,5,206.04214495599444,206.04214495599444,0.025502276999759488,-0.2222222222222222,-0.027777777777777776,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
115,0,115,0,10,207.056843639999,207.056843639999,0.048340802000893746,-0.29333333333333333,0.2111111111111111,1,0,0,,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
116,0,116,0,10,208.221198084997,208.221198084997,0.04890618700301275,0.10555555555555556,0.06,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
117,0,117,0,10,209.41651228800038,209.41651228800038,0.04780173399922205,-0.011111111111111112,0.26222222222222225,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
118,0,118,0,5,210.38209421699867,210.38209421699867,0.02568569200229831,-0.2477777777777778,0.014444444444444444,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
119,0,119,0,10,211.61702577799588,211.61702577799588,0.06080876199848717,-0.4888888888888889,-0.35888888888888887,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
120,0,120,0,10,213.32573529799993,213.32573529799993,0.04644218999601435,-0.2,0.47444444444444445,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
121,0,121,0,10,215.51679661999515,215.51679661999515,0.051090941997244954,0.13444444444444445,0.15,1,0,0,,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
122,0,122,0,10,216.69050876899564,216.69050876899564,0.04831085499608889,0.33111111111111113,0.15666666666666668,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
123,0,123,0,5,218.09062186099618,218.09062186099618,0.026265189997502603,-0.12,-0.42777777777777776,1,0,0,Target,458622,001,2023-09-25_15h41.00.956,Visual Search_15 September,2023.1.3,None,
