trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,Fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
185,0,185,0,5,348.2917153,348.2917153,0.0267419,[-0.008333333333333333],[0.22314814814814815],[1],[0],[0],[2.0921716997399926],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
186,0,186,0,5,350.420699,350.420699,0.0282015,[-0.1388888888888889],[0.3888888888888889],[1],[0],[0],[1.6600700002163649],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
187,0,187,0,5,352.0959591,352.0959591,0.0160076,[-0.2953703703703704],[0.10925925925925926],[1],[0],[0],[2.8773420001380146],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
189,0,189,0,5,357.1622464,357.1622464,0.0198163,[-0.1537037037037037],[-0.04814814814814815],[1],[0],[0],[1.5927824997343123],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
195,0,195,0,5,368.1345704,368.1345704,0.0178164,[-0.4185185185185185],[-0.15555555555555556],[1],[0],[0],[1.4911241000518203],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
198,0,198,0,5,373.4007386,373.4007386,0.0298837,[-0.1037037037037037],[0.48703703703703705],[1],[0],[0],[1.2293500998057425],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
199,0,199,0,5,374.6546771,374.6546771,0.0243232,[0.11388888888888889],[0.40185185185185185],[1],[0],[0],[1.2372320001013577],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
3,0,3,0,10,30.4484203,30.4484203,0.0415507,[-0.3731481481481482],[-0.2037037037037037],[1],[0],[0],[2.0488681998103857],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
5,0,5,0,10,34.8007849,34.8007849,0.0350275,[-0.15],[0.462037037037037],[1],[0],[0],[3.0417963000945747],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
6,0,6,0,10,37.8769583,37.8769583,0.0306353,[-0.362962962962963],[-0.4287037037037037],[1],[0],[0],[2.179800400044769],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
7,0,7,0,10,40.1253718,40.1253718,0.0470753,[-0.15648148148148147],[0.2518518518518518],[1],[0],[0],[1.6945457002148032],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
8,0,8,0,10,41.8503881,41.8503881,0.0383083,[-0.3287037037037037],[0.23796296296296296],[1],[0],[0],[1.4227478001266718],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
9,0,9,0,10,43.3203269,43.3203269,0.0407656,[0.05648148148148148],[0.39814814814814814],[1],[0],[0],[2.2523516002111137],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
10,0,10,0,10,45.6050732,45.6050732,0.0314781,[-0.34814814814814815],[0.013888888888888888],[1],[0],[0],[1.6127213998697698],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
11,0,11,0,10,47.2569281,47.2569281,0.0330889,[-0.35555555555555557],[-0.15925925925925927],[1],[0],[0],[1.7300093001686037],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
12,0,12,0,10,49.0467585,49.0467585,0.0509485,[0.4546296296296296],[-0.2074074074074074],[1],[0],[0],[1.8343274001963437],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
15,0,15,0,10,54.5153601,54.5153601,0.0477017,[-0.17962962962962964],[-0.1675925925925926],[1],[0],[0],[2.291738099884242],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
16,0,16,0,10,56.8433675,56.8433675,0.0332287,[0.36574074074074076],[0.10648148148148148],[1],[0],[0],[1.6504666996188462],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
17,0,17,0,10,58.5544189,58.5544189,0.0519982,[0.38981481481481484],[0.45092592592592595],[1],[0],[0],[2.0844983998686075],['target'],1,1,2023-09-15_11h48.06.378,Visual_Search,2023.1.3,61.45801765
